Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Angle_roll,Angle_pitch,Angle_yaw,Mag_X,Mag_Y,Mag_Z,Heading
0.098,0.014,0.971,0.45,-0.48,-3.42,0.7,-5.89,10.88,44.14,-55.74,-36.27,51.62461691
0.107,0.029,0.958,-0.31,-0.34,-3.5,0.74,-5.89,10.52,44.14,-55.74,-36.27,51.62461691
0.095,0.024,0.989,-0.75,0.47,-3.51,0.76,-5.88,10.18,43.74,-56.5,-34.31,52.25442183
0.105,0.027,0.965,-0.01,0.22,-3.44,0.78,-5.85,9.82,46.77,-56.69,-34.12,50.4769177
0.11,0.023,0.994,-0.42,0.2,-3.94,0.8,-5.83,9.46,46.77,-56.69,-34.12,50.4769177
0.092,0.024,0.988,-0.33,0.06,-3.48,0.82,-5.81,9.1,44.95,-56.12,-37.06,51.30659084
0.108,0.029,0.975,-0.84,-0.44,-3.84,0.81,-5.82,8.73,44.95,-56.12,-37.06,51.30659084
0.098,0.018,0.973,-0.45,-0.5,-3.63,0.81,-5.84,8.37,43.94,-55.16,-34.51,51.45946262
0.095,0.027,1,-1.04,-0.29,-3.59,0.79,-5.88,8,44.14,-54.97,-34.31,51.23611233
0.092,0.017,0.967,-0.68,-0.63,-3.86,0.77,-5.92,7.62,44.75,-54.02,-36.86,50.36175507
0.094,0.006,0.966,-0.69,-0.25,-4.24,0.75,-5.93,7.22,44.75,-54.02,-36.86,50.36175507
0.104,0.01,0.987,-0.25,-0.23,-4.49,0.74,-5.94,6.79,43.94,-54.02,-36.47,50.87500948
0.086,0.014,0.973,-0.07,0.1,-4.47,0.75,-5.91,6.36,43.13,-53.63,-34.12,51.19326981
0.078,0.012,0.974,-0.05,-0.29,-4.33,0.75,-5.88,5.92,43.13,-53.63,-34.12,51.19326981
0.097,0.033,1.004,-0.63,0.1,-4.47,0.75,-5.86,5.48,44.95,-53.44,-35.88,49.93179401
0.096,0.03,1,-0.26,-0.08,-4.09,0.75,-5.85,5.05,44.95,-53.44,-35.88,49.93179401
0.105,0.02,0.996,-0.14,-0.25,-4.21,0.75,-5.86,4.63,42.32,-52.87,-34.9,51.32433608
0.087,0.013,0.976,-0.56,-1.03,-4.87,0.75,-5.89,4.2,44.34,-54.4,-36.86,50.81743454
0.092,0.019,1.006,-0.94,-0.49,-4.29,0.75,-5.91,3.75,45.15,-53.25,-34.9,49.705811
0.099,0.019,1.028,-0.91,0.28,-4.71,0.77,-5.92,3.3,44.14,-53.06,-35.49,50.24332152
0.104,0.007,0.976,-0.18,0.28,-4.52,0.79,-5.91,2.82,44.14,-53.06,-35.49,50.24332152
0.087,0.001,0.969,0.4,0.26,-4.79,0.85,-5.88,2.35,44.55,-51.91,-36.67,49.36327422
0.085,0.007,0.98,0.65,0.29,-4.79,0.92,-5.83,1.87,44.55,-52.29,-37.06,49.56968842
